Average Error among all flows = 120.2516
FlowId	Estimated_Flow_Size	Actual_Flow_Size
104.17.183.118	10360	9956
159.178.108.111	9904	9848
104.154.198.228	9845	9835
187.237.14.200	9802	9747
159.178.237.53	9701	9681
159.178.102.100	9565	8733
70.187.95.95	9514	9510
52.84.76.175	9450	9450
103.26.37.253	9324	9324
165.215.209.15	9003	8982
88.231.33.95	8996	8968
54.230.161.109	8990	8673
157.55.39.140	8924	8058
73.224.42.241	8910	8910
159.178.107.44	8777	8698
69.252.101.144	8760	7763
104.92.17.82	8656	8390
216.52.195.182	8625	8584
23.202.88.31	8474	8462
96.7.182.150	8364	8364
156.154.65.196	8139	7597
149.169.208.76	8133	8030
104.16.89.188	7919	7867
128.227.112.222	7906	7904
172.217.8.80	7741	7187
66.249.64.14	7715	7701
91.198.117.247	7646	7394
159.178.137.117	7621	7581
209.112.113.33	7589	6487
34.206.148.175	7529	7485
63.251.240.12	7520	7380
8.27.160.227	7420	7272
192.210.199.106	7374	7374
73.224.76.160	7335	6946
159.178.112.71	7317	7315
174.70.89.126	7293	7291
68.64.22.136	7279	7262
120.239.64.18	7152	7122
69.252.200.11	7105	948
159.178.115.102	7077	7063
159.178.129.112	7040	7011
98.18.16.218	6960	6944
159.178.129.91	6914	6783
71.6.146.185	6827	6808
98.18.150.191	6747	6714
95.101.36.67	6712	6666
112.198.103.2	6656	6652
159.178.108.48	6604	6501
54.192.205.183	6541	6537
159.178.32.133	6520	5890
159.178.100.162	6445	6392
159.178.100.84	6440	5867
159.178.119.40	6346	6164
198.245.89.70	6316	6296
171.161.207.200	6243	6136
159.178.100.82	6087	6058
159.178.100.33	6027	5996
199.204.59.137	6025	5472
178.33.214.223	5952	5946
207.46.13.156	5900	5892
66.231.139.112	5865	5862
198.102.61.236	5798	5752
66.87.114.206	5783	5722
104.92.16.146	5777	5571
159.178.109.180	5757	5744
69.172.201.238	5717	5690
204.74.115.1	5713	5681
54.192.205.60	5691	5543
212.227.17.4	5610	5356
35.190.151.98	5547	5524
99.166.162.58	5545	5530
23.15.61.170	5538	5396
128.227.220.36	5525	5525
167.68.20.174	5492	5423
149.111.148.27	5437	5421
216.200.96.194	5405	5168
40.76.218.33	5396	5386
107.77.218.214	5258	5254
184.50.26.236	5254	5254
208.80.124.2	5240	5001
24.236.111.9	5223	5216
59.45.175.56	5172	5172
159.178.108.184	5154	5038
68.199.49.3	5154	20
128.227.236.254	5151	5102
96.7.49.194	5141	5139
209.73.179.8	5132	5108
216.58.219.67	5131	5122
52.85.107.101	5119	4576
104.92.12.53	5056	5000
159.178.120.116	5050	4511
159.178.96.156	5035	4992
54.67.57.25	5024	4848
104.17.8.41	5002	4932
208.80.125.4	4989	4966
107.77.220.66	4949	4836
170.146.96.193	4948	4926
128.227.71.18	4946	4926
188.184.36.52	4922	4904
128.227.111.65	4900	4878

