Average Error among all flows = 262.4495
FlowId	Estimated_Flow_Size	Actual_Flow_Size
52.84.76.175	10162	9450
104.17.183.118	10093	9956
216.21.235.23	9831	2
104.154.198.228	9776	9835
187.237.14.200	9747	9747
159.178.237.53	9673	9681
159.178.108.111	9660	9848
70.187.95.95	9512	9510
175.140.43.219	9512	2
96.7.182.150	9466	8364
103.26.37.253	9314	9324
165.215.209.15	8981	8982
88.231.33.95	8974	8968
73.224.42.241	8658	8910
159.178.107.44	8607	8698
216.52.195.182	8582	8584
54.230.161.109	8402	8673
104.92.17.82	8392	8390
179.182.201.104	8367	7
156.154.65.196	8353	7597
149.169.208.76	8032	8030
23.202.88.31	7986	8462
128.227.112.222	7961	7904
104.16.89.188	7759	7867
159.178.102.100	7739	8733
66.249.64.14	7708	7701
91.198.117.247	7639	7394
159.178.137.117	7485	7581
159.178.123.64	7476	3862
76.209.89.112	7476	166
70.185.106.200	7476	3452
34.206.148.175	7470	7485
69.252.101.144	7455	7763
24.236.111.9	7432	5216
157.55.39.140	7392	8058
63.251.240.12	7375	7380
58.208.152.27	7340	24
159.178.112.71	7340	7315
68.64.22.136	7332	7262
172.217.8.80	7318	7187
156.154.67.99	7318	129
174.70.89.126	7301	7291
8.27.160.227	7248	7272
120.239.64.18	7144	7122
95.101.36.67	7100	6666
159.178.129.112	7018	7011
98.18.150.191	6956	6714
98.18.16.218	6930	6944
192.210.199.106	6849	7374
71.6.146.185	6844	6808
73.224.76.160	6774	6946
159.178.100.162	6754	6392
159.178.108.48	6752	6501
159.178.129.91	6671	6783
69.27.198.221	6671	2
112.198.103.2	6654	6652
209.112.113.33	6491	6487
54.192.205.183	6355	6537
198.245.89.70	6294	6296
159.178.119.40	6162	6164
107.77.218.214	6075	5254
178.33.214.223	6039	5946
70.171.8.228	5982	100
159.178.32.133	5982	5890
66.231.139.112	5881	5862
159.178.100.82	5861	6058
207.46.13.156	5856	5892
66.87.114.206	5812	5722
104.25.104.31	5812	100
151.164.109.223	5798	227
104.92.16.146	5798	5571
198.102.61.236	5770	5752
159.178.109.180	5744	5744
159.178.100.84	5735	5867
167.68.20.174	5708	5423
204.74.115.1	5701	5681
149.111.148.27	5664	5421
159.178.100.33	5643	5996
171.161.207.200	5629	6136
35.190.151.98	5537	5524
99.166.162.58	5501	5530
199.204.59.137	5474	5472
128.227.220.36	5424	5525
210.78.142.47	5420	23
23.15.61.170	5380	5396
212.227.17.4	5354	5356
184.50.26.236	5254	5254
216.200.96.194	5178	5168
174.17.52.143	5167	4276
59.45.175.56	5147	5172
159.178.108.184	5138	5038
115.171.51.203	5138	110
128.227.236.254	5083	5102
216.58.219.67	5078	5122
209.73.179.8	5054	5108
159.178.118.30	5054	3006
96.7.49.194	5039	5139
208.80.125.4	4966	4966
159.178.96.156	4952	4992
170.146.96.193	4940	4926

